"№","Region (RU)","Region (BA)","Region (ENG)","Region (Com. Turk. BA)","District (RU)","District (BA)","District (ENG)","District (Com. Turk. BA)","Name (RU)","Name (BA)","Name (ENG)","Name (Com. Turk. BA)","Clan (RU)","Clan (BA)","Clan (ENG)","Clan (Com. Turk. BA)","Dialect (RU)","Dialect (BA)","Dialect (ENG)","Dialect (Com. Turk. BA)","Sub-dialect & Variety (RU)","Sub-dialect & Variety (BA)","Sub-dialect & Variety (ENG)","Sub-dialect & Variety (Com. Turk. BA)","Map Link","latitude","longitude","Status"
"1","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Азналино","Аҙналы","Aznalino","Aźnalı","Сарт-Айле","Һарт-Әйле","Sart-Ayle","Hart-Äyle","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=13/54.70719/62.29004","54.70719","62.29004",""
"2","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Большое Султаново","Оло Солтан","Bolshoye Sultanovo","Olo Soltan","Сарт","Һарт","Sart","Hart","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=13/54.81148/62.15273","54.81148","62.15273",""
"3","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Малое Султаново","Кесе Солтан","Maloye Sultanovo","Kese Soltan","Сарт","Һарт","Sart","Hart","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.80267/62.15276","54.80267","62.15276",""
"4","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Сарт-Абдрашево","Һарт-Әбдрәш","Sart-Abdrashevo","Hart-Äbdräş","Сарт","Һарт","Sart","Hart","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=13/54.77781/62.24729","54.77781","62.24729",""
"5","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Баязитово","Баязит","Bayazitovo","Bayazit","Сарт-Айле","Һарт-Әйле","Sart-Ayle","Hart-Äyle","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.79518/62.36811","54.79518","62.36811",""
"6","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Бугуй","Бугуй","Buguy","Buguy","Табын","Табын","Tabyn","Tabın","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.80872/62.76202","54.80872","62.76202",""
"7","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Бакаево","Баҡай","Bakayevo","Baqay","Табын-Калмак","Табын-Ҡалмаҡ","Tabyn-Kalmak","Tabın-Qalmaq","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.66893/62.58865","54.66893","62.58865",""
"8","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Бикбирды","Бикбирҙе","Bikbirdy","Bikbirźe","Кувакан","Ҡыуаҡан","Kuvakan","Qıwaqan","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.88032/62.39927","54.88032","62.39927",""
"9","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Сулейманово","Сөләймән","Suleymanovo","Söläymän","Сарт-Калмак","Һарт-Ҡалмаҡ","Sart-Kalmak","Hart-Qalmaq","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.76476/62.55119","54.76476","62.55119",""
"10","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Абултаево","Абултай","Abultayevo","Abultay","Калмак","Ҡалмаҡ","Kalmak","Qalmaq","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.86273/62.57798","54.86273","62.57798",""
"11","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Субботино","Субботино","Subbotino","Subbotino","Калмак-Табын","Ҡалмаҡ-Табын","Kalmak-Tabyn","Qalmaq-Tabın","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=13/54.86512/62.72393","54.86512","62.72393","Current Шәфей-Şäfey"
"12","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Мурзабаева","Мырҙабай","Murzabayeva","Mırźabay","Калмак","Ҡалмаҡ","Kalmak","Qalmaq","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.92850/62.77999","54.9285","62.77999",""
"13","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Сафакулевский район","Сафакүл районы","Safakulevsky district","Safakül rayonı","Калмык-Абдрашево","Ҡалмаҡ-Әбдрәш","Kalmyk-Abdrashevo","Qalmaq-Äbdräş","Калмак","Ҡалмаҡ","Kalmak","Qalmaq","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.98616/62.74219","54.98616","62.74219",""
"14","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Щучанский район","Щучье районы","Shchuchansky district","Şçuçye rayonı","Арасланова","Арыҫлан","Araslanova","Arıślan","Калмак","Ҡалмаҡ","Kalmak","Qalmaq","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/55.08604/62.70809","55.08604","62.70809",""
"15","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Альменевский район","Әлмән районы","Almenevsky district","Älmän rayonı","Майлык","Майлыҡ","Maylyk","Maylıq","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.99398/63.03356","54.99398","63.03356",""
"16","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Альменевский район","Әлмән районы","Almenevsky district","Älmän rayonı","Искандар","Искәндәр","Iskandar","İskändär","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.96237/63.00627","54.96237","63.00627",""
"17","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Альменевский район","Әлмән районы","Almenevsky district","Älmän rayonı","Алакуль","Алакүл","Alakul","Alakül","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=13/54.93071/63.31874","54.93071","63.31874",""
"18","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Альменевский район","Әлмән районы","Almenevsky district","Älmän rayonı","Казаккулово","Ҡаҙаҡҡол","Kazakkulovo","Qaźaqqol","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.91461/63.20552","54.91461","63.20552",""
"19","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Альменевский район","Әлмән районы","Almenevsky district","Älmän rayonı","Танрыкулово","Тәңрекүл","Tanrykulovo","Täñrekül","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.90585/63.15613","54.90585","63.15613",""
"20","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Альменевский район","Әлмән районы","Almenevsky district","Älmän rayonı","Килей-Казаккулово","Киләй-Ҡаҙаҡҡол","Kiley-Kazakkulovo","Kiläy-Qaźaqqol","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.85523/63.31105","54.85523","63.31105",""
"21","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Альменевский район","Әлмән районы","Almenevsky district","Älmän rayonı","Шарипово","Шәрип","Sharipovo","Şärip","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=13/54.84669/63.46411","54.84669","63.46411",""
"22","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Альменевский район","Әлмән районы","Almenevsky district","Älmän rayonı","Убалино","Убалы","Ubalino","Ubalı","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.73543/63.52143","54.73543","63.52143",""
"23","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Альменевский район","Әлмән районы","Almenevsky district","Älmän rayonı","Зеникай","Зәйнәкәй","Zenikay","Zäynäkäy","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.79425/63.29534","54.79425","63.29534",""
"24","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Альменевский район","Әлмән районы","Almenevsky district","Älmän rayonı","Байганино","Байғана","Bayganino","Bayğana","Айле","Әйле","Ayle","Äyle","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.72140/63.40366","54.7214","63.40366",""
"25","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Альменевский район","Әлмән районы","Almenevsky district","Älmän rayonı","Юламаново","Юламан","Yulamanovo","Yulaman","Айле-Катай","Әйле-Ҡатай","Ayle-Katay","Äyle-Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=13/54.79855/62.96175","54.79855","62.96175",""
"26","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Альменевский район","Әлмән районы","Almenevsky district","Älmän rayonı","Бухарово","Бохара","Bukharovo","Boxara","Айле-Катай","Әйле-Ҡатай","Ayle-Katay","Äyle-Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.77516/62.94413","54.77516","62.94413",""
"27","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Альменевский район","Әлмән районы","Almenevsky district","Älmän rayonı","Подъясово","Бүҙейәс","Podyasovo","Büźeyäs","Айле-Катай","Әйле-Ҡатай","Ayle-Katay","Äyle-Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.86249/63.01115","54.86249","63.01115",""
"28","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Альменевский район","Әлмән районы","Almenevsky district","Älmän rayonı","Аскарово","Асҡар","Askarovo","Asqar","Айле-Катай","Әйле-Ҡатай","Ayle-Katay","Äyle-Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор (Ялан-Катайский подговор)","Арғаяш һөйләше (Ялан-Ҡатай аҫһөйләше)","Argayashsky sub-dialect (Yalan-Qatay variety)","Arğayaş höyläşe (Yalan-Qatay aśhöyläşe)","https://www.openstreetmap.org/#map=14/54.73712/62.83392","54.73712","62.83392",""
"29","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Шадринский район","Шадринск районы","Shadrinsky district","Şadrinsk rayonı","Сибирки","Себеркә","Sibirki","Seberkä","Терсяк-Салъют","Терһәк-Һалйоғот","Terseyak-Salyut","Terhäk-Halyoğot","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/56.12009/64.30194","56.12009","64.30194",""
"30","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Шатровский район","Шатров районы","Shatrovsky district","Şatrov rayonı","Кызылбай","Ҡыҙылбай","Kyzylbay","Qıźılbay","Терсяк-Салъют","Терһәк-Һалйоғот","Terseyak-Salyut","Terhäk-Halyoğot","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=13/56.34809/64.26641","56.34809","64.26641",""
"31","Курганская область","Ҡурған өлкәһе","Kurgan oblast","Qurğan ölkähe","Шатровский район","Шатров районы","Shatrovsky district","Şatrov rayonı","Терсюкское","Терһәк","Tersyukskoye","Terhäk","Терсяк","Терһәк","Terseyak","Terhäk","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=13/56.29367/64.81521","56.29367","64.81521",""
"32","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Махмутова","Мәхмүт","Mahmutova","Mäxmüt","Терсяк","Терһәк","Terseyak","Terhäk","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/55.94000/62.11851","55.94","62.11851",""
"33","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Алифкулова","Әлифҡол","Alifkulova","Älifqol","Терсяк","Терһәк","Terseyak","Terhäk","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/55.92905/62.11392","55.92905","62.11392",""
"34","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Аширово","Ғәшер","Ashirovo","Ğäşer","Терсяк","Терһәк","Terseyak","Terhäk","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/55.93165/62.09927","55.93165","62.09927",""
"35","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Кумкуль","Ҡомкүл","Kumkul","Qomkül","Салъют-Терсяк","Һалйоғот-Терһәк","Salyut-Terseyak","Halyoğot-Terhäk","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/56.01879/62.04969","56.01879","62.04969",""
"36","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Иксанова","Ихсан","Iksanova","Ixsan","Салъют","Һалйоғот","Salyut","Halyoğot","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/56.06925/62.03375","56.06925","62.03375",""
"37","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Мурино","Муры","Murino","Murı","Салъют","Һалйоғот","Salyut","Halyoğot","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/56.04286/61.85974","56.04286","61.85974",""
"38","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Карино","Һеңрән","Karino","Heñrän","Салъют-Терсяк","Һалйоғот-Терһәк","Salyut-Terseyak","Halyoğot-Terhäk","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/56.07290/61.75813","56.0729","61.75813",""
"39","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Чекурова","Сүкер","Chekurova","Süker","Салъют","Һалйоғот","Salyut","Halyoğot","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/56.03950/61.70224","56.0395","61.70224",""
"40","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Серкино","Сәркәй","Serkino","Särkäy","Салъют","Һалйоғот","Salyut","Halyoğot","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/56.00743/61.82970","56.00743","61.8297",""
